Month	L	M	S	SD	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
0	1	34.4618	0.03686	1.2703	30.7	31.9	33.2	34.5	35.7	37.0	38.3
1	1	37.2759	0.03133	1.1679	33.8	34.9	36.1	37.3	38.4	39.6	40.8
2	1	39.1285	0.02997	1.1727	35.6	36.8	38.0	39.1	40.3	41.5	42.6
3	1	40.5135	0.02918	1.1822	37.0	38.1	39.3	40.5	41.7	42.9	44.1
4	1	41.6317	0.02868	1.1940	38.0	39.2	40.4	41.6	42.8	44.0	45.2
5	1	42.5576	0.02837	1.2074	38.9	40.1	41.4	42.6	43.8	45.0	46.2
6	1	43.3306	0.02817	1.2206	39.7	40.9	42.1	43.3	44.6	45.8	47.0
7	1	43.9803	0.02804	1.2332	40.3	41.5	42.7	44.0	45.2	46.4	47.7
8	1	44.5300	0.02796	1.2451	40.8	42.0	43.3	44.5	45.8	47.0	48.3
9	1	44.9998	0.02792	1.2564	41.2	42.5	43.7	45.0	46.3	47.5	48.8
10	1	45.4051	0.02790	1.2668	41.6	42.9	44.1	45.4	46.7	47.9	49.2
11	1	45.7573	0.02789	1.2762	41.9	43.2	44.5	45.8	47.0	48.3	49.6
12	1	46.0661	0.02789	1.2848	42.2	43.5	44.8	46.1	47.4	48.6	49.9
13	1	46.3395	0.02789	1.2924	42.5	43.8	45.0	46.3	47.6	48.9	50.2
14	1	46.5844	0.02791	1.3002	42.7	44.0	45.3	46.6	47.9	49.2	50.5
15	1	46.8060	0.02792	1.3068	42.9	44.2	45.5	46.8	48.1	49.4	50.7
16	1	47.0088	0.02795	1.3139	43.1	44.4	45.7	47.0	48.3	49.6	51.0
17	1	47.1962	0.02797	1.3201	43.2	44.6	45.9	47.2	48.5	49.8	51.2
18	1	47.3711	0.02800	1.3264	43.4	44.7	46.0	47.4	48.7	50.0	51.4
19	1	47.5357	0.02803	1.3324	43.5	44.9	46.2	47.5	48.9	50.2	51.5
20	1	47.6919	0.02806	1.3382	43.7	45.0	46.4	47.7	49.0	50.4	51.7
21	1	47.8408	0.02810	1.3443	43.8	45.2	46.5	47.8	49.2	50.5	51.9
22	1	47.9833	0.02813	1.3498	43.9	45.3	46.6	48.0	49.3	50.7	52.0
23	1	48.1201	0.02817	1.3555	44.1	45.4	46.8	48.1	49.5	50.8	52.2
24	1	48.2515	0.02821	1.3612	44.2	45.5	46.9	48.3	49.6	51.0	52.3
25	1	48.3777	0.02825	1.3667	44.3	45.6	47.0	48.4	49.7	51.1	52.5
26	1	48.4989	0.02830	1.3725	44.4	45.8	47.1	48.5	49.9	51.2	52.6
27	1	48.6151	0.02834	1.3778	44.5	45.9	47.2	48.6	50.0	51.4	52.7
28	1	48.7264	0.02838	1.3829	44.6	46.0	47.3	48.7	50.1	51.5	52.9
29	1	48.8331	0.02842	1.3878	44.7	46.1	47.4	48.8	50.2	51.6	53.0
30	1	48.9351	0.02847	1.3932	44.8	46.1	47.5	48.9	50.3	51.7	53.1
31	1	49.0327	0.02851	1.3979	44.8	46.2	47.6	49.0	50.4	51.8	53.2
32	1	49.1260	0.02855	1.4026	44.9	46.3	47.7	49.1	50.5	51.9	53.3
33	1	49.2153	0.02859	1.4071	45.0	46.4	47.8	49.2	50.6	52.0	53.4
